Review_ID,App_Name,User_Age,Review_Date,Rating,Review_Text,Likes,Device_Type,Version_Used,Country,Purchase_Amount,Category
45,Clash of Clans,52,2024-07-28,3,"Fun, but it gets repetitive after a while.",40,iPhone 11,8.109.15,US,17.83,Games
46,WhatsApp,49,2023-01-09,2,Could be better. The app crashes frequently.,32,iPhone 14,8.247.8,UK,9.15,Social
47,Candy Crush Saga,22,2024-08-11,1,Not worth the download. Keeps crashing.,8,iPhone 13,7.248.20,Germany,11.63,Games
48,Candy Crush Saga,49,2023-02-12,3,Too many ads interrupting the game.,30,iPhone 14,4.161.3,US,17.51,Games
49,Clash of Clans,59,2024-06-08,4,"Fun, but it gets repetitive after a while.",44,iPhone 13,4.299.7,UK,0.0,Games
50,TikTok,55,2023-06-30,2,The app is okay but has too many glitches.,31,iPhone 14,6.234.1,US,0.0,Entertainment
51,Spotify,60,2023-10-22,4,"Great music collection, but needs offline mode.",55,iPhone 13,5.5.13,UK,10.27,Music
52,Spotify,31,2023-07-09,1,Not worth it. Limited music selection.,8,iPhone 13,5.175.6,US,0.0,Music
53,TikTok,46,2024-05-10,3,"Decent, but needs more content.",57,iPhone 12,9.115.15,France,0.0,Entertainment
54,TikTok,24,2022-10-15,2,Terrible! Hard to navigate and slow.,12,iPhone 14,1.248.16,Australia,6.06,Entertainment
55,Headspace,28,2024-07-31,3,"Decent, but lacks variety in sessions.",43,iPhone 12,7.264.16,US,6.58,Health
56,Duolingo,47,2023-08-02,2,Not engaging enough. Needs more updates.,17,iPhone 11,4.258.5,India,10.24,Education
57,WhatsApp,49,2023-10-23,4,"Great app, but sometimes it lags.",65,iPhone 11,6.123.20,Australia,5.7,Social
58,WhatsApp,55,2024-02-03,3,Could be better. The app crashes frequently.,34,iPhone 14,8.295.3,Germany,0.0,Social
59,Audible,42,2024-04-08,1,"It's okay, but some audiobooks won't play.",29,iPhone X,4.116.13,France,0.0,Books
60,TikTok,51,2022-10-12,3,Awesome app! Best entertainment content.,85,iPhone SE,9.2.7,India,9.71,Entertainment
61,Duolingo,51,2023-11-09,3,Not engaging enough. Needs more updates.,38,iPhone 13,1.167.15,France,14.78,Education
62,Duolingo,52,2023-10-25,5,Excellent for learning new skills!,96,iPhone 12,6.62.17,France,0.0,Education
63,Instagram,30,2024-07-29,1,Could be better. The app crashes frequently.,10,iPhone SE,10.262.20,Australia,13.66,Social
64,WhatsApp,44,2024-01-15,3,Could be better. The app crashes frequently.,31,iPhone 14,9.122.1,UK,10.57,Social
65,Headspace,30,2023-12-23,1,"Decent, but lacks variety in sessions.",30,iPhone SE,5.84.9,US,0.0,Health
66,Duolingo,23,2024-03-15,1,Disappointing. Hard to follow and buggy.,1,iPhone 11,3.250.0,Canada,8.23,Education
67,Spotify,30,2023-12-31,5,"Great music collection, but needs offline mode.",75,iPhone 14,1.70.13,Mexico,0.0,Music
68,TikTok,45,2023-01-09,2,The app is okay but has too many glitches.,23,iPhone 11,3.52.6,US,0.0,Entertainment
69,WhatsApp,39,2024-01-13,2,Could be better. The app crashes frequently.,16,iPhone 12,9.13.7,Australia,10.21,Social
70,Candy Crush Saga,40,2023-01-10,5,Super fun and addictive! Can't stop playing.,90,iPhone 11,5.275.8,Germany,16.4,Games
71,WhatsApp,25,2024-09-30,4,"Good app, but too many ads.",37,iPhone 14,8.75.10,France,10.63,Social
72,Instagram,25,2023-03-14,1,Terrible experience. The app doesn't work properly.,18,iPhone 11,2.256.3,Canada,9.26,Social
73,Zoom,21,2024-07-02,4,Perfect for remote meetings! Stable and reliable.,98,iPhone X,5.97.6,Australia,5.12,Business
74,Clash of Clans,31,2023-02-12,1,Not worth the download. Keeps crashing.,11,iPhone 13,10.298.5,US,17.25,Games
75,Zoom,50,2022-11-28,2,Worst experience. Constantly crashes during meetings.,5,iPhone 13,4.268.16,Mexico,10.16,Business
76,TikTok,27,2023-06-27,3,"Decent, but needs more content.",50,iPhone 12,7.277.13,UK,0.0,Entertainment
77,TikTok,19,2022-10-25,1,Terrible! Hard to navigate and slow.,20,iPhone 12,3.131.15,Australia,0.0,Entertainment
78,Clash of Clans,23,2024-02-10,2,Too many ads interrupting the game.,38,iPhone 11,4.182.6,Mexico,0.0,Games
79,Zoom,42,2024-10-01,1,Worst experience. Constantly crashes during meetings.,12,iPhone 11,7.127.20,US,0.0,Business
80,Instagram,18,2023-01-30,1,Terrible experience. The app doesn't work properly.,15,iPhone 11,3.17.20,US,13.81,Social
81,Candy Crush Saga,43,2024-02-09,5,Super fun and addictive! Can't stop playing.,73,iPhone 14,8.152.8,Canada,0.0,Games
82,TikTok,51,2023-01-08,1,Terrible! Hard to navigate and slow.,12,iPhone SE,1.14.4,Germany,0.0,Entertainment
83,WhatsApp,36,2024-06-17,5,Amazing app! Helps me stay connected with friends and family.,87,iPhone 14,7.165.15,Canada,8.68,Social
84,Instagram,41,2024-01-13,3,Could be better. The app crashes frequently.,33,iPhone 13,5.209.13,Germany,0.0,Social
85,Duolingo,29,2023-10-29,4,"Good educational app, but can be improved.",71,iPhone X,8.189.7,India,0.0,Education
86,Audible,58,2024-09-29,3,"Great app, but it's a bit pricey.",71,iPhone X,1.181.2,Australia,0.0,Books
87,Spotify,42,2024-02-02,1,"Good, but has connection issues sometimes.",36,iPhone X,1.286.4,Germany,0.0,Music
88,Spotify,54,2023-03-06,1,"The app is okay, but it crashes often.",36,iPhone SE,6.238.6,Mexico,11.74,Music
89,Audible,40,2023-10-31,1,Terrible. Very limited selection of books.,0,iPhone 11,9.84.13,Canada,0.0,Books
90,WhatsApp,45,2024-03-01,1,Could be better. The app crashes frequently.,22,iPhone X,1.270.14,Germany,0.0,Social
91,TikTok,56,2023-08-15,1,Terrible! Hard to navigate and slow.,10,iPhone 13,8.270.0,Germany,3.86,Entertainment
92,Instagram,20,2023-01-21,3,"Good app, but too many ads.",58,iPhone 12,1.156.10,Germany,11.81,Social
93,Headspace,50,2024-02-22,5,Very helpful for meditation and mental health.,97,iPhone 11,5.160.0,Canada,0.0,Health
94,Headspace,46,2023-06-17,3,"Decent, but lacks variety in sessions.",54,iPhone 11,1.109.18,India,0.0,Health
95,TikTok,50,2024-03-16,2,"Good app, but the ads are annoying.",55,iPhone X,4.87.18,Germany,6.73,Entertainment
96,Headspace,45,2023-10-14,3,"Decent, but lacks variety in sessions.",49,iPhone 12,9.132.0,Mexico,7.92,Health
97,Duolingo,25,2023-09-24,1,"Useful, but some content is outdated.",52,iPhone X,10.14.16,UK,0.0,Education
98,TikTok,42,2022-12-20,4,"Decent, but needs more content.",36,iPhone 13,2.238.12,UK,0.0,Entertainment
99,WhatsApp,54,2023-05-11,4,"Good app, but too many ads.",31,iPhone 13,5.30.17,Australia,13.61,Social
100,Zoom,33,2023-02-01,2,Keeps disconnecting during calls.,10,iPhone 12,5.111.13,Canada,13.8,Business
101,Zoom,43,2024-09-07,4,"Good app, but has minor bugs.",62,iPhone 14,5.246.0,France,14.5,Business
102,TikTok,41,2023-11-07,5,Awesome app! Best entertainment content.,93,iPhone 11,9.143.2,Canada,4.42,Entertainment
103,TikTok,18,2022-11-07,2,The app is okay but has too many glitches.,32,iPhone 14,7.200.18,France,4.4,Entertainment
104,Candy Crush Saga,57,2024-03-18,5,Super fun and addictive! Can't stop playing.,100,iPhone SE,7.206.17,France,18.19,Games
105,Candy Crush Saga,59,2024-01-23,1,Not worth the download. Keeps crashing.,11,iPhone X,5.250.1,Australia,18.63,Games
106,Clash of Clans,58,2023-08-24,2,Too many ads interrupting the game.,13,iPhone 11,7.17.8,US,0.0,Games
107,Clash of Clans,33,2024-08-29,1,Too many ads interrupting the game.,17,iPhone X,9.282.2,Mexico,0.0,Games
108,Clash of Clans,59,2023-11-30,3,Too many ads interrupting the game.,18,iPhone 13,6.68.14,France,0.0,Games
109,Clash of Clans,31,2023-08-09,5,Super fun and addictive! Can't stop playing.,93,iPhone 11,8.147.16,Mexico,13.85,Games
110,WhatsApp,26,2024-06-03,4,"Great app, but sometimes it lags.",51,iPhone 14,2.150.17,UK,0.0,Social
111,Audible,39,2024-02-05,3,"It's okay, but some audiobooks won't play.",31,iPhone 13,1.156.9,US,0.0,Books
112,Candy Crush Saga,20,2024-07-15,5,Super fun and addictive! Can't stop playing.,92,iPhone 11,1.186.18,India,18.12,Games
113,Spotify,42,2024-03-28,4,"Good, but has connection issues sometimes.",36,iPhone 13,5.145.6,Australia,10.19,Music
114,WhatsApp,43,2024-02-10,3,Amazing app! Helps me stay connected with friends and family.,87,iPhone X,3.4.18,US,0.0,Social
115,WhatsApp,48,2024-02-04,2,Could be better. The app crashes frequently.,40,iPhone 11,2.111.10,India,0.0,Social
116,Audible,51,2022-10-18,5,Amazing app for audiobooks! Huge selection.,94,iPhone 12,5.116.14,Germany,12.17,Books
117,TikTok,56,2023-05-09,4,"Good app, but the ads are annoying.",69,iPhone 14,10.198.0,Australia,8.14,Entertainment
118,Headspace,24,2024-03-14,1,Could be better. Some sessions don't work.,25,iPhone SE,5.55.14,UK,0.0,Health
119,Instagram,51,2023-03-17,4,"Great app, but sometimes it lags.",53,iPhone 13,8.195.10,France,0.0,Social
120,Headspace,47,2023-03-11,1,Not helpful at all. Content is repetitive.,19,iPhone SE,6.271.20,US,6.91,Health
121,TikTok,49,2022-12-07,4,Awesome app! Best entertainment content.,73,iPhone SE,2.246.12,France,0.0,Entertainment
122,Spotify,37,2024-07-30,4,"Great music collection, but needs offline mode.",58,iPhone 11,9.265.20,Canada,0.0,Music
123,Audible,36,2022-12-10,4,"Great app, but it's a bit pricey.",53,iPhone 13,10.278.2,UK,14.46,Books
124,Duolingo,21,2023-11-18,5,Excellent for learning new skills!,77,iPhone 13,10.27.14,US,0.0,Education
125,Clash of Clans,58,2023-02-24,5,Super fun and addictive! Can't stop playing.,94,iPhone X,3.162.16,Germany,0.0,Games
126,Instagram,19,2023-08-30,3,"Good app, but too many ads.",37,iPhone 12,8.109.1,Mexico,0.0,Social
127,Spotify,18,2023-10-23,2,"The app is okay, but it crashes often.",24,iPhone 13,9.8.8,India,0.0,Music
128,Duolingo,41,2024-08-17,2,Not engaging enough. Needs more updates.,28,iPhone X,9.161.2,France,10.67,Education
129,Instagram,38,2023-06-09,3,"Good app, but too many ads.",37,iPhone SE,2.242.13,France,7.45,Social
130,Zoom,58,2023-05-07,1,"Works fine, but the interface could be better.",42,iPhone SE,9.172.1,India,5.83,Business
131,Zoom,34,2024-01-30,1,Worst experience. Constantly crashes during meetings.,1,iPhone 12,1.93.10,Australia,0.0,Business
132,Spotify,59,2023-07-10,4,"Great music collection, but needs offline mode.",77,iPhone 12,4.257.10,India,11.51,Music
133,Spotify,54,2022-10-25,1,"The app is okay, but it crashes often.",26,iPhone SE,1.103.13,UK,0.0,Music
134,Spotify,24,2024-03-22,1,Not worth it. Limited music selection.,19,iPhone 11,1.29.0,India,0.0,Music
135,Candy Crush Saga,31,2023-06-24,4,"Great game, but too many in-game purchases.",51,iPhone 11,2.39.7,France,19.06,Games
136,Instagram,38,2022-12-03,4,"Great app, but sometimes it lags.",53,iPhone 13,8.38.6,Canada,0.0,Social
137,Headspace,40,2023-11-29,3,"Decent, but lacks variety in sessions.",54,iPhone 14,6.268.6,US,10.92,Health
138,TikTok,27,2022-12-14,2,The app is okay but has too many glitches.,26,iPhone 12,1.0.14,India,8.75,Entertainment
139,Headspace,30,2023-08-21,4,"Good, but the premium content is expensive.",67,iPhone X,10.288.3,US,0.0,Health
140,Clash of Clans,30,2023-09-23,5,Super fun and addictive! Can't stop playing.,95,iPhone 14,2.178.1,Canada,6.25,Games
141,Audible,28,2023-12-10,5,Amazing app for audiobooks! Huge selection.,76,iPhone 13,1.135.10,Australia,0.0,Books
142,Candy Crush Saga,33,2024-02-18,3,"Great game, but too many in-game purchases.",55,iPhone X,3.270.4,UK,5.45,Games
143,Headspace,41,2023-09-01,2,Could be better. Some sessions don't work.,13,iPhone 12,7.140.4,UK,6.09,Health
144,Candy Crush Saga,32,2024-03-16,3,Too many ads interrupting the game.,25,iPhone 14,3.193.15,Germany,14.61,Games
145,Zoom,37,2024-07-19,1,Keeps disconnecting during calls.,26,iPhone X,1.149.16,Canada,0.0,Business
146,Clash of Clans,47,2024-06-11,1,Too many ads interrupting the game.,15,iPhone X,8.187.1,Mexico,15.14,Games
147,Clash of Clans,54,2023-01-11,4,"Fun, but it gets repetitive after a while.",54,iPhone 14,9.244.12,Canada,16.36,Games
148,WhatsApp,32,2023-08-28,3,Could be better. The app crashes frequently.,17,iPhone 14,5.191.16,UK,6.14,Social
149,Duolingo,35,2022-10-17,1,Disappointing. Hard to follow and buggy.,19,iPhone 13,7.162.4,India,0.0,Education
150,Audible,26,2023-10-31,3,"Great app, but it's a bit pricey.",72,iPhone SE,5.15.0,India,0.0,Books
151,Instagram,35,2024-06-12,5,Amazing app! Helps me stay connected with friends and family.,80,iPhone 13,2.257.9,US,6.72,Social
152,Headspace,60,2022-11-23,1,Not helpful at all. Content is repetitive.,0,iPhone 11,9.263.15,Canada,0.0,Health
153,Zoom,55,2024-02-15,3,"Good app, but has minor bugs.",51,iPhone SE,7.193.11,France,10.72,Business
154,Audible,53,2024-09-02,3,"Good, but needs more features for listeners.",47,iPhone 13,6.271.16,Canada,0.0,Books
155,Audible,21,2024-05-26,4,"Great app, but it's a bit pricey.",63,iPhone 11,7.11.7,Mexico,0.0,Books
156,Headspace,33,2024-02-29,2,Not helpful at all. Content is repetitive.,9,iPhone 14,9.133.5,France,8.14,Health
157,Instagram,58,2022-12-22,3,"Good app, but too many ads.",58,iPhone 14,3.290.16,Germany,0.0,Social
158,Audible,58,2023-09-25,4,"Great app, but it's a bit pricey.",52,iPhone 14,5.46.5,UK,0.0,Books
159,Candy Crush Saga,49,2022-11-14,2,Too many ads interrupting the game.,37,iPhone 12,2.211.16,India,13.48,Games
160,Instagram,56,2023-11-19,2,Could be better. The app crashes frequently.,10,iPhone 11,5.286.20,US,10.13,Social
161,Duolingo,27,2024-05-27,2,Not engaging enough. Needs more updates.,23,iPhone 12,4.179.10,France,0.0,Education
162,TikTok,38,2024-02-12,1,Terrible! Hard to navigate and slow.,8,iPhone SE,3.238.1,Germany,6.4,Entertainment
163,Zoom,54,2023-10-11,5,Perfect for remote meetings! Stable and reliable.,71,iPhone 12,8.94.14,Canada,10.94,Business
164,TikTok,33,2023-01-18,3,Awesome app! Best entertainment content.,76,iPhone X,7.288.10,India,0.0,Entertainment
165,TikTok,57,2024-09-09,2,The app is okay but has too many glitches.,34,iPhone X,5.54.0,Germany,4.85,Entertainment
166,Audible,52,2022-12-24,5,Amazing app for audiobooks! Huge selection.,71,iPhone X,7.88.18,Mexico,0.0,Books
167,Audible,18,2023-11-19,5,Amazing app for audiobooks! Huge selection.,73,iPhone 11,10.24.17,UK,0.0,Books
168,Candy Crush Saga,25,2024-05-01,5,Super fun and addictive! Can't stop playing.,92,iPhone 11,2.225.11,France,9.05,Games
169,WhatsApp,29,2024-01-06,1,Terrible experience. The app doesn't work properly.,1,iPhone 11,1.58.2,US,0.0,Social
170,Duolingo,47,2023-05-19,5,"Good educational app, but can be improved.",68,iPhone 13,8.106.15,Australia,0.0,Education
171,TikTok,51,2023-04-20,5,"Good app, but the ads are annoying.",79,iPhone 13,4.51.19,Australia,0.0,Entertainment
172,Candy Crush Saga,26,2024-06-01,2,Too many ads interrupting the game.,27,iPhone X,10.227.17,India,10.4,Games
173,Audible,43,2024-02-18,2,"It's okay, but some audiobooks won't play.",14,iPhone 11,2.8.15,Mexico,0.0,Books
174,Zoom,38,2023-08-11,5,Perfect for remote meetings! Stable and reliable.,93,iPhone 12,9.280.0,UK,0.0,Business
175,Instagram,36,2023-10-11,1,Terrible experience. The app doesn't work properly.,8,iPhone 12,9.235.6,India,0.0,Social
176,Instagram,22,2024-07-27,1,Terrible experience. The app doesn't work properly.,7,iPhone SE,4.233.11,Australia,6.45,Social
177,Candy Crush Saga,34,2023-10-31,3,"Fun, but it gets repetitive after a while.",46,iPhone 13,9.180.15,Mexico,11.27,Games
178,Zoom,36,2023-03-06,4,"Good app, but has minor bugs.",57,iPhone 12,5.298.12,Germany,0.0,Business
179,Headspace,23,2024-10-05,2,Not helpful at all. Content is repetitive.,20,iPhone 14,9.44.18,UK,0.0,Health
180,WhatsApp,33,2024-06-14,4,"Great app, but sometimes it lags.",73,iPhone 13,6.155.0,Germany,13.01,Social
181,Clash of Clans,43,2023-06-30,5,"Great game, but too many in-game purchases.",80,iPhone 13,9.50.9,Canada,15.18,Games
182,Duolingo,33,2024-06-20,1,Disappointing. Hard to follow and buggy.,3,iPhone 12,8.218.2,US,0.0,Education
183,TikTok,50,2023-08-13,2,The app is okay but has too many glitches.,23,iPhone 12,7.44.18,UK,5.37,Entertainment
184,Clash of Clans,47,2024-10-06,1,Not worth the download. Keeps crashing.,16,iPhone 13,6.272.6,Canada,16.68,Games
185,WhatsApp,21,2023-07-10,3,"Good app, but too many ads.",46,iPhone 14,5.299.0,Canada,0.0,Social
186,TikTok,47,2023-03-13,3,"Decent, but needs more content.",58,iPhone X,9.213.2,UK,7.94,Entertainment
187,Candy Crush Saga,57,2023-01-05,4,"Fun, but it gets repetitive after a while.",51,iPhone 14,9.79.20,India,8.5,Games
188,Clash of Clans,40,2024-04-01,5,Super fun and addictive! Can't stop playing.,94,iPhone 11,9.244.10,Mexico,0.0,Games
189,Audible,29,2024-04-14,4,"Great app, but it's a bit pricey.",64,iPhone 11,3.91.19,India,0.0,Books
190,Clash of Clans,49,2023-01-01,5,Super fun and addictive! Can't stop playing.,98,iPhone X,5.177.8,India,10.17,Games
191,Instagram,45,2023-11-17,1,"Good app, but too many ads.",58,iPhone X,9.12.13,US,0.0,Social
192,Audible,54,2023-02-10,1,Terrible. Very limited selection of books.,1,iPhone 13,10.167.0,India,0.0,Books
193,WhatsApp,44,2022-11-09,3,"Good app, but too many ads.",41,iPhone X,4.119.14,France,0.0,Social
194,TikTok,30,2024-03-30,1,The app is okay but has too many glitches.,13,iPhone X,6.200.3,France,5.77,Entertainment
195,Candy Crush Saga,52,2024-08-24,4,"Great game, but too many in-game purchases.",74,iPhone 11,4.151.6,UK,10.97,Games
196,TikTok,37,2023-07-07,1,The app is okay but has too many glitches.,19,iPhone X,5.190.6,Canada,3.26,Entertainment
197,Zoom,49,2024-07-15,3,"Works fine, but the interface could be better.",57,iPhone 11,4.10.17,Australia,0.0,Business
198,Instagram,47,2024-01-24,5,Amazing app! Helps me stay connected with friends and family.,72,iPhone 12,4.229.11,Mexico,10.76,Social
199,Headspace,31,2023-01-01,1,Not helpful at all. Content is repetitive.,14,iPhone 13,6.28.11,France,10.01,Health
200,WhatsApp,28,2022-11-07,4,"Great app, but sometimes it lags.",77,iPhone 11,1.89.9,India,0.0,Social
201,Clash of Clans,42,2022-12-09,2,Too many ads interrupting the game.,33,iPhone 14,10.182.19,India,8.3,Games
202,Instagram,52,2024-05-05,1,Terrible experience. The app doesn't work properly.,10,iPhone 11,5.98.17,Mexico,0.0,Social
203,WhatsApp,21,2024-09-14,5,Amazing app! Helps me stay connected with friends and family.,81,iPhone 14,4.138.17,Australia,13.98,Social
204,Clash of Clans,57,2024-03-03,1,Not worth the download. Keeps crashing.,20,iPhone 11,1.164.2,France,9.45,Games
205,Instagram,29,2024-07-09,5,Amazing app! Helps me stay connected with friends and family.,93,iPhone 12,5.7.5,Germany,10.42,Social
206,Candy Crush Saga,24,2024-05-10,2,Not worth the download. Keeps crashing.,10,iPhone 13,2.196.4,Mexico,9.55,Games
207,Audible,35,2024-04-18,4,"Great app, but it's a bit pricey.",78,iPhone 12,8.236.13,US,0.0,Books
208,Duolingo,53,2024-04-12,3,Not engaging enough. Needs more updates.,11,iPhone 14,1.132.11,Canada,11.49,Education
209,Duolingo,45,2024-01-29,4,"Good educational app, but can be improved.",64,iPhone 12,10.64.16,India,14.57,Education
210,Headspace,21,2024-04-07,1,Could be better. Some sessions don't work.,29,iPhone SE,8.192.6,France,0.0,Health
211,TikTok,42,2024-06-29,2,The app is okay but has too many glitches.,32,iPhone 11,2.89.1,Mexico,0.0,Entertainment
212,Headspace,23,2023-01-04,3,"Good, but the premium content is expensive.",79,iPhone SE,9.202.7,Australia,9.51,Health
213,Instagram,56,2023-09-02,1,Terrible experience. The app doesn't work properly.,8,iPhone 13,2.163.3,Australia,0.0,Social
214,TikTok,40,2023-09-19,1,Terrible! Hard to navigate and slow.,14,iPhone 13,3.86.4,UK,0.0,Entertainment
215,Instagram,31,2023-11-23,3,"Good app, but too many ads.",59,iPhone X,3.133.5,Mexico,0.0,Social
216,Instagram,37,2023-07-12,1,Could be better. The app crashes frequently.,40,iPhone SE,6.227.6,US,0.0,Social
217,Candy Crush Saga,24,2024-01-12,3,Super fun and addictive! Can't stop playing.,71,iPhone X,7.117.5,US,0.0,Games
218,Headspace,56,2023-06-13,5,Very helpful for meditation and mental health.,73,iPhone 12,4.244.6,Australia,0.0,Health
219,Clash of Clans,41,2024-05-22,3,"Fun, but it gets repetitive after a while.",42,iPhone 12,1.28.10,Canada,0.0,Games
220,Duolingo,57,2023-09-23,2,"Good educational app, but can be improved.",51,iPhone SE,2.79.10,India,0.0,Education
221,TikTok,34,2022-12-29,3,"Decent, but needs more content.",38,iPhone 14,1.211.5,Germany,0.0,Entertainment
222,WhatsApp,23,2023-01-06,1,Terrible experience. The app doesn't work properly.,2,iPhone X,6.86.2,Germany,0.0,Social
223,Duolingo,58,2023-09-09,1,"Useful, but some content is outdated.",50,iPhone SE,2.63.19,US,0.0,Education
224,WhatsApp,36,2022-11-14,1,Terrible experience. The app doesn't work properly.,12,iPhone SE,3.166.8,Canada,12.31,Social
225,Headspace,34,2022-11-12,1,Not helpful at all. Content is repetitive.,3,iPhone 12,3.95.14,Canada,11.69,Health
226,Candy Crush Saga,29,2023-06-07,1,Not worth the download. Keeps crashing.,0,iPhone SE,7.108.9,France,9.82,Games
227,Candy Crush Saga,28,2024-05-05,1,Not worth the download. Keeps crashing.,20,iPhone SE,7.123.10,UK,16.86,Games
228,Zoom,48,2024-05-12,5,Perfect for remote meetings! Stable and reliable.,74,iPhone 14,3.127.15,US,0.0,Business
229,Candy Crush Saga,41,2023-12-11,5,Super fun and addictive! Can't stop playing.,74,iPhone 13,5.129.11,Australia,11.84,Games
